2022-11-21 01:15:17 [pool-2-thread-1] WARN  com.epam.multithreading.entity.Port [[getPier]] - All piers are busy, wait
2022-11-21 01:15:17 [pool-2-thread-4] INFO  com.epam.multithreading.entity.Ship [[run]] - Ship leave
2022-11-21 01:15:17 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Pier [[unload]] - Ship 3 is unloaded
2022-11-21 01:15:17 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Ship [[run]] - Ship leave
2022-11-21 01:16:10 [pool-2-thread-1] INFO  com.epam.multithreading.entity.Port [[<init>]] - Port is create
2022-11-21 01:16:10 [pool-2-thread-2] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 2 is create
2022-11-21 01:16:10 [pool-2-thread-1] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 1 is create
2022-11-21 01:16:10 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 3 is create
2022-11-21 01:16:10 [pool-2-thread-2] INFO  com.epam.multithreading.entity.Port [[getPier]] - Pier number 0 occupied 
2022-11-21 01:16:10 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Port [[getPier]] - Pier number 1 occupied 
2022-11-21 01:16:10 [pool-2-thread-2] INFO  com.epam.multithreading.entity.Pier [[unload]] - Ship 2 is unloaded
